LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-10-30 19:41:46,1900-01-00 00:00:00,,70:4F:57:70:B6:5A,-40, ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:46,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:47,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:48,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:48,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:48,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-30 19:41:48,1900-01-00 00:00:00,AOBARULHO,70:4F:57:70:B6:5A,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
